,PNW
0,5699.683105625881
1,5699.683105625881
2,5699.683105625881
3,5699.683105625881
4,5699.683105625881
5,5699.683105625881
6,5699.683105625881
7,5699.683105625881
8,5699.683105625881
9,5699.683105625881
10,5699.683105625881
11,5699.683105625881
12,5699.683105625881
13,5699.683105625881
14,5699.683105625881
15,5699.683105625881
16,5699.683105625881
17,5699.683105625881
18,5699.683105625881
19,5699.683105625881
20,5699.683105625881
21,5699.683105625881
22,5699.683105625881
23,5699.683105625881
24,5699.683105625881
25,5699.683105625881
26,5699.683105625881
27,5699.683105625881
28,5699.683105625881
29,5699.683105625881
30,5699.683105625881
31,5699.683105625881
32,5699.683105625881
33,5699.683105625881
34,5699.683105625881
35,5699.683105625881
36,5699.683105625881
37,5699.683105625881
38,5699.683105625881
39,5699.683105625881
40,5699.683105625881
41,5699.683105625881
42,5699.683105625881
43,5699.683105625881
44,5699.683105625881
45,5699.683105625881
46,5699.683105625881
47,5699.683105625881
48,5699.683105625881
49,5699.683105625881
50,5699.683105625881
51,5699.683105625881
52,5699.683105625881
53,5699.683105625881
54,5699.683105625881
55,5699.683105625881
56,5699.683105625881
57,5699.683105625881
58,5699.683105625881
59,5699.683105625881
60,5699.683105625881
61,5699.683105625881
62,5699.683105625881
63,5699.683105625881
64,5699.683105625881
65,5699.683105625881
66,5699.683105625881
67,5699.683105625881
68,5699.683105625881
69,5699.683105625881
70,5699.683105625881
71,5699.683105625881
72,5699.683105625881
73,5699.683105625881
74,5699.683105625881
75,5699.683105625881
76,5699.683105625881
77,5699.683105625881
78,5699.683105625881
79,5699.683105625881
80,5699.683105625881
81,5699.683105625881
82,5699.683105625881
83,5699.683105625881
84,5699.683105625881
85,5699.683105625881
86,5699.683105625881
87,5699.683105625881
88,5699.683105625881
89,5699.683105625881
90,5699.683105625881
91,5699.683105625881
92,5699.683105625881
93,5699.683105625881
94,5699.683105625881
95,5699.683105625881
96,5699.683105625881
97,5699.683105625881
98,5699.683105625881
99,5699.683105625881
100,5699.683105625881
101,5699.683105625881
102,5699.683105625881
103,5699.683105625881
104,5699.683105625881
105,5699.683105625881
106,5699.683105625881
107,5699.683105625881
108,5699.683105625881
109,5699.683105625881
110,5699.683105625881
111,5699.683105625881
112,5699.683105625881
113,5699.683105625881
114,5699.683105625881
115,5699.683105625881
116,5699.683105625881
117,5699.683105625881
118,5699.683105625881
119,5699.683105625881
120,5699.683105625881
121,5699.683105625881
122,5699.683105625881
123,5699.683105625881
124,5699.683105625881
125,5699.683105625881
126,5699.683105625881
127,5699.683105625881
128,5699.683105625881
129,5699.683105625881
130,5699.683105625881
131,5699.683105625881
132,5699.683105625881
133,5699.683105625881
134,5699.683105625881
135,5699.683105625881
136,5699.683105625881
137,5699.683105625881
138,5699.683105625881
139,5699.683105625881
140,5699.683105625881
141,5699.683105625881
142,5699.683105625881
143,5699.683105625881
144,5699.683105625881
145,5699.683105625881
146,5699.683105625881
147,5699.683105625881
148,5699.683105625881
149,5699.683105625881
150,5699.683105625881
151,5699.683105625881
152,5699.683105625881
153,5699.683105625881
154,5699.683105625881
155,5699.683105625881
156,5699.683105625881
157,5699.683105625881
158,5699.683105625881
159,5699.683105625881
160,5699.683105625881
161,5699.683105625881
162,5699.683105625881
163,5699.683105625881
164,5699.683105625881
165,5699.683105625881
166,5699.683105625881
167,5699.683105625881
168,5699.683105625881
169,5699.683105625881
170,5699.683105625881
171,5699.683105625881
172,5699.683105625881
173,5699.683105625881
174,5699.683105625881
175,5699.683105625881
176,5699.683105625881
177,5699.683105625881
178,5699.683105625881
179,5699.683105625881
180,5699.683105625881
