Year,Month,Day,Hour,reserves
2010,1,1,0,606.4215938
2010,1,1,1,587.4437135
2010,1,1,2,577.4997168
2010,1,1,3,579.5518005
2010,1,1,4,594.3969197
2010,1,1,5,634.1470606
2010,1,1,6,710.6247433
2010,1,1,7,762.3616969
2010,1,1,8,768.537581
2010,1,1,9,765.7276965
2010,1,1,10,756.284108
2010,1,1,11,753.6907852
2010,1,1,12,748.1149634
2010,1,1,13,740.5777954
2010,1,1,14,723.2301298
2010,1,1,15,738.4013621
2010,1,1,16,793.0589094
2010,1,1,17,840.9463906
2010,1,1,18,837.3019161
2010,1,1,19,815.03327
2010,1,1,20,784.2124083
2010,1,1,21,731.1214262
2010,1,1,22,669.2852016
2010,1,1,23,619.046192
2010,1,2,0,585.5308116
2010,1,2,1,568.0552374
2010,1,2,2,561.2250655
2010,1,2,3,560.1313614
2010,1,2,4,570.9289475
2010,1,2,5,603.8367935
2010,1,2,6,675.1713631
2010,1,2,7,726.5098308
2010,1,2,8,745.6732684
2010,1,2,9,751.6185833
2010,1,2,10,746.6596314
2010,1,2,11,735.6283415
2010,1,2,12,716.2485658
2010,1,2,13,698.3403054
2010,1,2,14,684.8912627
2010,1,2,15,692.780046
2010,1,2,16,744.6175736
2010,1,2,17,809.6830371
2010,1,2,18,808.1914232
2010,1,2,19,793.4944674
2010,1,2,20,768.7293205
2010,1,2,21,726.2706272
2010,1,2,22,665.6590621
2010,1,2,23,618.4396874
2010,1,3,0,589.1993928
2010,1,3,1,573.8848101
2010,1,3,2,571.2241676
2010,1,3,3,575.48633
2010,1,3,4,588.767834
2010,1,3,5,627.7396184
2010,1,3,6,704.4788891
2010,1,3,7,764.2092203
2010,1,3,8,793.9620218
2010,1,3,9,795.1785144
2010,1,3,10,784.5319708
2010,1,3,11,762.9366458
2010,1,3,12,740.0935204
2010,1,3,13,729.2103006
2010,1,3,14,716.071896
2010,1,3,15,727.9239469
2010,1,3,16,781.0654453
2010,1,3,17,847.8547674
2010,1,3,18,849.785048
2010,1,3,19,838.7714002
2010,1,3,20,807.5973782
2010,1,3,21,747.519077
2010,1,3,22,673.9227538
2010,1,3,23,616.5433072
2010,1,4,0,586.7234031
2010,1,4,1,576.1121111
2010,1,4,2,573.7605438
2010,1,4,3,583.4992052
2010,1,4,4,611.9893497
2010,1,4,5,685.7964996
2010,1,4,6,812.3444046
2010,1,4,7,876.0566041
2010,1,4,8,859.4994582
2010,1,4,9,840.1310093
2010,1,4,10,831.7807286
2010,1,4,11,823.8009677
2010,1,4,12,814.0371611
2010,1,4,13,806.9589763
2010,1,4,14,796.0726765
2010,1,4,15,804.3695635
2010,1,4,16,842.8436427
2010,1,4,17,880.126752
2010,1,4,18,868.2209481
2010,1,4,19,838.1722762
2010,1,4,20,796.1544054
2010,1,4,21,731.7658335
2010,1,4,22,661.0180508
2010,1,4,23,607.4543362
2010,1,5,0,572.2179407
2010,1,5,1,554.180985
2010,1,5,2,547.3751662
2010,1,5,3,550.6251168
2010,1,5,4,573.0821411
2010,1,5,5,638.6438753
2010,1,5,6,746.6046512
2010,1,5,7,812.9966236
2010,1,5,8,796.2015516
2010,1,5,9,777.2441738
2010,1,5,10,767.1642183
2010,1,5,11,765.4406303
2010,1,5,12,757.6981856
2010,1,5,13,748.7638161
2010,1,5,14,743.9563367
2010,1,5,15,755.5542312
2010,1,5,16,805.612969
2010,1,5,17,851.2943253
2010,1,5,18,845.236931
2010,1,5,19,820.020597
2010,1,5,20,785.2290771
2010,1,5,21,733.5069755
2010,1,5,22,677.2317971
2010,1,5,23,630.3576234
2010,1,6,0,578.0561375
2010,1,6,1,561.8277097
2010,1,6,2,552.4249233
2010,1,6,3,547.4972626
2010,1,6,4,556.4613833
2010,1,6,5,587.451096
2010,1,6,6,640.6995534
2010,1,6,7,678.7767486
2010,1,6,8,684.6096957
2010,1,6,9,690.1591055
2010,1,6,10,694.4283671
2010,1,6,11,700.0159266
2010,1,6,12,701.3329251
2010,1,6,13,697.4364458
2010,1,6,14,692.8090492
2010,1,6,15,704.3988273
2010,1,6,16,745.051381
2010,1,6,17,802.8108417
2010,1,6,18,806.3442921
2010,1,6,19,793.1202564
2010,1,6,20,772.5769772
2010,1,6,21,741.9835179
2010,1,6,22,693.6858286
2010,1,6,23,649.2606736
2010,1,7,0,621.6369412
2010,1,7,1,610.1529388
2010,1,7,2,611.2348284
2010,1,7,3,620.4840518
2010,1,7,4,643.6417777
2010,1,7,5,692.9505626
2010,1,7,6,759.5988693
2010,1,7,7,809.2431373
2010,1,7,8,817.522834
2010,1,7,9,819.0392365
2010,1,7,10,805.7242631
2010,1,7,11,780.4321232
2010,1,7,12,760.0910613
2010,1,7,13,746.8178851
2010,1,7,14,745.6544006
2010,1,7,15,758.5181965
2010,1,7,16,811.5222626
2010,1,7,17,885.8995407
2010,1,7,18,893.6169758
2010,1,7,19,878.1320403
2010,1,7,20,844.3504192
2010,1,7,21,794.6653653
2010,1,7,22,730.1971324
2010,1,7,23,677.3697934
2010,1,8,0,648.3503073
2010,1,8,1,636.9011533
2010,1,8,2,636.8074064
2010,1,8,3,646.5293194
2010,1,8,4,676.5429205
2010,1,8,5,742.2991066
2010,1,8,6,866.108127
2010,1,8,7,933.7968013
2010,1,8,8,922.1169896
2010,1,8,9,894.4977284
2010,1,8,10,876.5399631
2010,1,8,11,854.0414054
2010,1,8,12,834.6641471
2010,1,8,13,813.9333718
2010,1,8,14,799.6607322
2010,1,8,15,815.2133923
2010,1,8,16,878.3857096
2010,1,8,17,933.7163109
2010,1,8,18,924.8598137
2010,1,8,19,900.0330151
2010,1,8,20,867.9421716
2010,1,8,21,809.4484217
2010,1,8,22,746.3863666
2010,1,8,23,688.5052012
2010,1,9,0,652.5960365
2010,1,9,1,633.6926733
2010,1,9,2,625.5218069
2010,1,9,3,627.4360745
2010,1,9,4,642.9176112
2010,1,9,5,674.807913
2010,1,9,6,746.4746618
2010,1,9,7,803.306671
2010,1,9,8,829.0083609
2010,1,9,9,830.4970207
2010,1,9,10,811.991593
2010,1,9,11,795.5922423
2010,1,9,12,762.5626493
2010,1,9,13,737.4442668
2010,1,9,14,714.8321636
2010,1,9,15,717.9816257
2010,1,9,16,772.2461168
2010,1,9,17,845.4522926
2010,1,9,18,842.1653965
2010,1,9,19,823.1536977
2010,1,9,20,798.044177
2010,1,9,21,753.832072
2010,1,9,22,692.3427597
2010,1,9,23,647.5621864
2010,1,10,0,618.323079
2010,1,10,1,604.0127162
2010,1,10,2,602.667532
2010,1,10,3,611.370838
2010,1,10,4,626.6867233
2010,1,10,5,666.9599334
2010,1,10,6,745.7733947
2010,1,10,7,807.2157707
2010,1,10,8,834.2436104
2010,1,10,9,833.5992713
2010,1,10,10,816.964736
2010,1,10,11,793.2326285
2010,1,10,12,769.0733013
2010,1,10,13,753.2602179
2010,1,10,14,740.3323642
2010,1,10,15,753.5500688
2010,1,10,16,805.2852567
2010,1,10,17,877.6610569
2010,1,10,18,877.8596514
2010,1,10,19,858.8579514
2010,1,10,20,824.8908752
2010,1,10,21,758.23736
2010,1,10,22,684.3485014
2010,1,10,23,632.00744
2010,1,11,0,601.5416541
2010,1,11,1,592.0571982
2010,1,11,2,590.2253007
2010,1,11,3,594.6156822
2010,1,11,4,620.0620546
2010,1,11,5,686.2027543
2010,1,11,6,799.9240745
2010,1,11,7,882.114093
2010,1,11,8,863.7948186
2010,1,11,9,842.1653032
2010,1,11,10,831.3035105
2010,1,11,11,816.6428988
2010,1,11,12,805.8703686
2010,1,11,13,797.8368556
2010,1,11,14,787.2575093
2010,1,11,15,789.599368
2010,1,11,16,833.5560706
2010,1,11,17,880.8157783
2010,1,11,18,874.6620705
2010,1,11,19,847.1033597
2010,1,11,20,806.1491185
2010,1,11,21,737.9019298
2010,1,11,22,665.6419738
2010,1,11,23,613.1037326
2010,1,12,0,580.9770619
2010,1,12,1,566.3458169
2010,1,12,2,559.3097454
2010,1,12,3,563.464078
2010,1,12,4,583.0431197
2010,1,12,5,640.5868034
2010,1,12,6,747.5890307
2010,1,12,7,808.7467057
2010,1,12,8,787.3676891
2010,1,12,9,768.9690189
2010,1,12,10,765.6019419
2010,1,12,11,761.7939242
2010,1,12,12,750.4377687
2010,1,12,13,745.8200534
2010,1,12,14,747.6540218
2010,1,12,15,755.8376764
2010,1,12,16,800.9852859
2010,1,12,17,847.8101713
2010,1,12,18,837.45538
2010,1,12,19,809.3806517
2010,1,12,20,766.2300115
2010,1,12,21,710.2424488
2010,1,12,22,658.3477615
2010,1,12,23,608.8398398
2010,1,13,0,581.089937
2010,1,13,1,566.1582187
2010,1,13,2,568.1243041
2010,1,13,3,566.6410876
2010,1,13,4,577.6425819
2010,1,13,5,617.7884369
2010,1,13,6,678.7287334
2010,1,13,7,723.4775783
2010,1,13,8,736.0329695
2010,1,13,9,748.0082415
2010,1,13,10,758.0124456
2010,1,13,11,744.1345229
2010,1,13,12,730.0710413
2010,1,13,13,717.9464434
2010,1,13,14,709.0396678
2010,1,13,15,725.7423314
2010,1,13,16,762.5778432
2010,1,13,17,808.9918059
2010,1,13,18,798.4761434
2010,1,13,19,771.2329346
2010,1,13,20,741.2503177
2010,1,13,21,702.9571877
2010,1,13,22,654.1133657
2010,1,13,23,609.6582311
2010,1,14,0,596.0400049
2010,1,14,1,606.7502459
2010,1,14,2,601.4431029
2010,1,14,3,603.009486
2010,1,14,4,607.0826628
2010,1,14,5,601.2994885
2010,1,14,6,660.5526094
2010,1,14,7,702.1352928
2010,1,14,8,713.7746703
2010,1,14,9,718.80522
2010,1,14,10,710.3959987
2010,1,14,11,701.9410246
2010,1,14,12,699.58847
2010,1,14,13,696.1402078
2010,1,14,14,690.8340277
2010,1,14,15,699.4462883
2010,1,14,16,744.5273486
2010,1,14,17,798.8464929
2010,1,14,18,795.5360683
2010,1,14,19,774.2177099
2010,1,14,20,739.354736
2010,1,14,21,695.7823642
2010,1,14,22,639.747419
2010,1,14,23,591.4208027
2010,1,15,0,564.9094489
2010,1,15,1,587.9878997
2010,1,15,2,589.8223972
2010,1,15,3,590.1645058
2010,1,15,4,570.9337797
2010,1,15,5,629.7388936
2010,1,15,6,734.1389286
2010,1,15,7,803.0076945
2010,1,15,8,796.1126006
2010,1,15,9,777.5527532
2010,1,15,10,767.3674018
2010,1,15,11,751.7872112
2010,1,15,12,753.8906495
2010,1,15,13,746.4280845
2010,1,15,14,739.5382279
2010,1,15,15,746.3695969
2010,1,15,16,782.1390645
2010,1,15,17,834.1119699
2010,1,15,18,824.6802913
2010,1,15,19,801.4432881
2010,1,15,20,773.5152349
2010,1,15,21,722.8468268
2010,1,15,22,663.4444626
2010,1,15,23,614.092443
2010,1,16,0,582.9557102
2010,1,16,1,567.5681272
2010,1,16,2,560.7884816
2010,1,16,3,560.8196018
2010,1,16,4,572.2836532
2010,1,16,5,605.3461858
2010,1,16,6,678.5065026
2010,1,16,7,743.4129974
2010,1,16,8,773.1730766
2010,1,16,9,778.8712249
2010,1,16,10,772.1447861
2010,1,16,11,753.5295171
2010,1,16,12,732.2346799
2010,1,16,13,718.2783074
