,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,6076.163375414551,16181.414126413258,2171.007141026104,10951.176187036492,5887.327149488207,4807.244174547951
1,5983.721795411889,15918.850513088453,2030.201629483943,10440.460265107904,5505.355944809256,4703.873739131282
2,5941.777832847792,15916.209766557828,1918.9001833122456,9992.038918963577,5288.911416739026,4557.785297093833
3,5983.785360000429,16143.61417555142,1849.7687404114968,9592.43601107928,5171.279194486291,4465.180276804012
4,6110.929546058865,16768.993581827322,1813.6246449919577,9458.239750479135,5022.709396321275,4465.65941875094
5,6353.710501134781,18095.55934694483,1816.7459112444778,9474.670203848686,5012.7374550807945,4469.860260058086
6,6609.553003113754,20615.6454575759,1872.5914799634372,9661.312800804355,5124.983959627997,4517.319074230646
7,6873.532146651111,22214.2322950878,1966.6659355582892,9740.923128927338,5344.985057663098,4873.629749944851
8,7079.264073974041,22274.902365038375,2040.5461945443146,9664.52003980037,5606.866796516561,5074.104197242718
9,7168.30545011886,21891.935080045252,2106.624407536694,9823.788572091154,5733.751764820095,5208.746207688539
10,7110.7371488390145,21403.084246732033,2142.1038877975748,10008.513014960196,5934.98939313894,5236.329902289907
11,6962.082104260208,20762.72398193576,2150.6025728659542,10167.07000156464,5922.555672117153,5135.910632355565
12,6770.686608810089,20118.981281883247,2141.3332282338783,10223.783019869104,5845.762527688617,5076.188671934624
13,6627.072980108306,19566.667056595805,2131.976905063278,10185.168177713223,5728.986572770068,4928.592314751911
14,6493.449611543977,19143.43190873449,2122.215445675364,10021.816159056742,5642.235279367299,5007.115739649881
15,6522.787162223791,19389.607093991643,2120.818360210975,9955.839571049364,5535.126710677063,5004.2481967963495
16,6866.80283611155,21012.65319897526,2154.065382479438,9874.202263590987,5791.186311549933,5020.807634079714
17,7244.564681695945,22901.643794232943,2335.592219358502,10383.330630888766,6309.493717775527,5241.698496317708
18,7266.373787782342,23037.521619733587,2657.365518477367,11896.2742894952,7147.970990090824,5732.077785439926
19,7172.65290116465,22644.042697701752,2797.394667730708,12291.6015588078,7402.663602143186,5733.026820715826
20,7014.5403906512365,21858.128163205278,2773.151468425109,12211.148621231883,7363.100464877398,5672.940004746192
21,6750.425704109843,20341.493397467613,2698.6350283895663,12052.569549049507,7131.009616616803,5461.497112882551
22,6376.625840633523,18534.762145071123,2530.3472694232064,11765.845903651323,6634.97328064975,5238.1898324978765
23,6051.290121700384,17188.420306372485,2310.743540407281,11152.536894808232,6201.74769295065,4928.6538489733975
24,5899.620689708168,16489.229749945236,2003.600512134214,9984.232956834345,5401.73231379117,4147.868853332861
25,5821.132276676692,16240.94071118995,1849.7679329906373,9551.664812718147,5201.926095635303,4030.292610285549
26,5841.861764761383,16260.677335140756,1762.9546017056148,9210.35048315718,4914.678022108089,3910.635864193807
27,5936.009860218915,16511.02424788696,1721.6386592060765,8981.11481026582,4880.259183857889,3785.395395829049
28,6146.951248579263,17193.354952247206,1704.3700125175653,8971.952442357277,4756.12646429341,3808.271563155763
29,6519.138922478806,18731.741580907987,1726.291461996244,9149.722174873315,4765.2205512932005,3886.870389100921
30,6927.107841166078,21629.279680364405,1805.6266021299732,9543.904561349142,4929.367391275549,4076.4303417128117
31,7301.113521667903,23290.53282995376,1926.2692223651286,9936.262456230723,5302.266517731452,4472.30512009588
32,7504.32877395979,23119.060222781307,2013.0729175638667,10179.961040103,5501.575232348016,4617.645744787435
