Date_pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m,Pool_elev_m
-10,467,469,485,488,492,502,503,503.5,504,512,512.5,515,515.3,515.9,518
0,34,34,142,149,156,179,180,181,184,184,184,184,184,184,184
32,34,34,142,149,156,179,180,181,184,184,184,184,184,184,184
61,57,57,57,57,57,179,180,181,184,184,184,184,184,184,184
92,25,25,25,25,25,25,57,73,142,184,184,184,184,184,184
122,25,25,25,25,25,25,25,25,25,25,57,142,184,184,184
131,25,25,25,25,25,25,25,25,25,25,25,25,85,142,184
153,25,25,25,25,25,25,25,25,25,25,25,25,85,142,184
183,25,25,25,25,25,25,25,25,25,25,25,25,85,142,184
213,25,25,25,25,25,25,25,25,25,25,25,25,85,142,184
214,28,28,28,28,28,28,28,28,28,27,27,26,45,142,184
244,28,28,28,28,28,28,28,28,28,27,27,26,45,142,184
245,16,16,16,16,16,16,16,16,16,16,16,16,45,142,184
274,16,16,16,16,16,16,16,25,44,142,184,184,184,184,184
275,25,25,25,25,25,25,25,25,44,142,184,184,184,184,184
306,31,32,32,34,69,179,180,181,184,184,184,184,184,184,184
336,34,34,142,149,156,179,180,181,184,184,184,184,184,184,184
365,34,34,142,149,156,179,180,181,184,184,184,184,184,184,184
