,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,0.0,1140.7769804894754,1284.6444058133743,2102.582951362859,350.30497508069993,2878.6632116978194,3683.5
1,355.89878432412297,998.8501980444112,1157.2409323120091,3542.5,2267.3612186897512,3648.6296189303084,3234.0166453583865
2,0.0,1279.75220810694,1714.2254348889355,2278.630801570627,1188.987461856384,2039.4311748087616,2103.194785211723
3,0.0,0.0,1095.1659765019672,2982.4013672310784,1831.4902625083764,3766.5,3013.556670539305
4,2986.5,2549.9632894519814,2412.387277765669,3211.3353068908773,2568.580320686523,3781.5,3200.671205688885
5,0.0,125.22630639661838,2808.0199713494235,3035.7269312570993,1446.008130265499,3516.632117186908,3524.5524851449954
6,2476.675689607172,2906.680805316101,2484.652547708477,3322.8238723399827,1377.0792936101052,3553.068538872282,3583.072078055008
7,1128.3499737744446,2653.6327170259074,2238.4240329277386,2948.77100406689,1533.4071522679478,3509.531602075469,3009.2170386210073
8,3045.0,3086.0,3357.5,3507.8429837496647,2896.827778284751,3670.6639547650198,3528.564115834024
9,2942.7379156275592,2762.7648255989006,3134.7363436076625,3693.0,3668.5537905147867,3822.0,3835.98281939619
10,2774.1201588748077,2772.6881756153134,3237.6587627477875,3519.4081717921786,3143.2369262005323,3874.5,3847.0953142254484
11,2441.594484681372,2856.4942336918257,3486.0,3225.7392985234706,3268.570802355283,3411.496745041166,3041.9243131881553
12,3025.7338326690165,3166.9067436170544,3435.498522718399,3630.029000548128,3490.9335119755847,3410.675929026186,2406.9590343309155
13,2232.7197242638526,1997.3596050088722,3465.9150417058363,2401.926806374916,2185.0658000053027,3194.1054853506243,2645.300558177112
14,1530.3081068988354,1696.7613584051119,2834.4506312623994,3436.1689924570956,2862.919820361581,3523.7148302551755,3392.12566578044
15,2321.753714625451,3324.0,3248.6478264348007,3625.65104574288,2756.9828474004858,3403.164467637749,3350.335413732445
16,2503.8264622664105,2945.9567859611634,3176.013500493771,3976.5,3995.5,3291.41091119712,3402.096322029922
17,2605.8342912758353,2825.049102191451,3592.0,3980.5,3855.176090289159,4072.5,4079.0
18,2815.2823401629303,2208.4777638023706,3064.7980088867266,3839.4669551186525,3223.0432585967187,3288.9043980555157,3454.2162075777933
19,2014.8436049364386,2678.7993204562763,2374.233849605976,3407.6389833067656,4109.5,4046.5857287101257,3926.7472790369
